A1BG	alpha-1-B glycoprotein 
ST3GAL5	ST3 beta-galactoside alpha-2,3-sialyltransferase 5 
STAB2	stabilin 2 
STAT3	signal transducer and activator of transcription 3 
STAT4	signal transducer and activator of transcription 4 
STAT5B	signal transducer and activator of transcription 5B 
STIP1	stress induced phosphoprotein 1 
STK10	serine/threonine kinase 10 
STK16	serine/threonine kinase 16 
STK17A	serine/threonine kinase 17a 
STK17B	serine/threonine kinase 17b 
STK24	serine/threonine kinase 24 
STK26	serine/threonine kinase 26 
STK3	serine/threonine kinase 3 
STK32A	serine/threonine kinase 32A 
STK33	serine/threonine kinase 33 
STK35	serine/threonine kinase 35 
STK36	serine/threonine kinase 36 
STK38	serine/threonine kinase 38 
STK38L	serine/threonine kinase 38 like 
STK39	serine/threonine kinase 39 
STMN4	stathmin 4 
STS	steroid sulfatase 
STX11	syntaxin 11 
STX1B	syntaxin 1B 
STX4	syntaxin 4 
STXBP2	syntaxin binding protein 2 
SUCLA2	succinate-CoA ligase ADP-forming beta subunit 
SUCLG1	succinate-CoA ligase alpha subunit 
SUCLG2	succinate-CoA ligase GDP-forming beta subunit 
SUCNR1	succinate receptor 1 
SUGCT	succinyl-CoA:glutarate-CoA transferase 
SULT1A1	sulfotransferase family 1A member 1 
SULT1A3	sulfotransferase family 1A member 3 
SULT1A4	sulfotransferase family 1A member 4 
SULT1B1	sulfotransferase family 1B member 1 
SULT1C2	sulfotransferase family 1C member 2 
SULT1C4	sulfotransferase family 1C member 4 
SULT1E1	sulfotransferase family 1E member 1 
SULT2A1	sulfotransferase family 2A member 1 
SULT2B1	sulfotransferase family 2B member 1 
SULT4A1	sulfotransferase family 4A member 1 
SUMO4	small ubiquitin like modifier 4 
SUOX	sulfite oxidase 
SV2A	synaptic vesicle glycoprotein 2A 
SV2C	synaptic vesicle glycoprotein 2C 
SYK	spleen associated tyrosine kinase 
SYN1	synapsin I 
SYT2	synaptotagmin 2 
SYTL4	synaptotagmin like 4 
TAAR1	trace amine associated receptor 1 
TAAR6	trace amine associated receptor 6 
TAB1	TGF-beta activated kinase 1 (MAP3K7) binding protein 1 
TAC3	tachykinin precursor 3 
TACR1	tachykinin receptor 1 
TACR2	tachykinin receptor 2 
TACR3	tachykinin receptor 3 
TAGLN	transgelin 
TAGLN2	transgelin 2 
TANC1	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1 
TANC2	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2 
TAOK1	TAO kinase 1 
TAOK2	TAO kinase 2 
TAOK3	TAO kinase 3 
TAP1	transporter 1, ATP binding cassette subfamily B member 
TAPBP	TAP binding protein 
TARS1	threonyl-tRNA synthetase 1 
TARS2	threonyl-tRNA synthetase 2, mitochondrial 
TAS1R2	taste 1 receptor member 2 
TAS1R3	taste 1 receptor member 3 
TAS2R16	taste 2 receptor member 16 
TAT	tyrosine aminotransferase 
TBC1D1	TBC1 domain family member 1 
TBC1D32	TBC1 domain family member 32 
TBK1	TANK binding kinase 1 
TBL1XR1	transducin beta like 1 X-linked receptor 1 
TBX21	T-box transcription factor 21 
TBXA2R	thromboxane A2 receptor 
TBXAS1	thromboxane A synthase 1 
TBXT	T-box transcription factor T 
TCF19	transcription factor 19 
TCF7L2	transcription factor 7 like 2 
TCL1A	T cell leukemia/lymphoma 1A 
TCN1	transcobalamin 1 
TCN2	transcobalamin 2 
TDO2	tryptophan 2,3-dioxygenase 
TEC	tec protein tyrosine kinase 
TEK	TEK receptor tyrosine kinase 
TENT4A	terminal nucleotidyltransferase 4A 
TERT	telomerase reverse transcriptase 
TESK1	testis associated actin remodelling kinase 1 
TESMIN	testis expressed metallothionein like protein 
TET2	tet methylcytosine dioxygenase 2 
TEX10	testis expressed 10 
TF	transferrin 
TFF1	trefoil factor 1 
TFF2	trefoil factor 2 
TFPI	tissue factor pathway inhibitor 
TFR2	transferrin receptor 2 
TFRC	transferrin receptor 
TGFB1	transforming growth factor beta 1 
TGFB2	transforming growth factor beta 2 
TGFB3	transforming growth factor beta 3 
TGFBI	transforming growth factor beta induced 
TGFBR1	transforming growth factor beta receptor 1 
TGFBR2	transforming growth factor beta receptor 2 
TGFBR3	transforming growth factor beta receptor 3 
TGM1	transglutaminase 1 
TGM2	transglutaminase 2 
TGM3	transglutaminase 3 
TGM4	transglutaminase 4 
TGM5	transglutaminase 5 
TGM6	transglutaminase 6 
TGM7	transglutaminase 7 
TH	tyrosine hydroxylase 
THBD	thrombomodulin 
THNSL1	threonine synthase like 1 
THRA	thyroid hormone receptor alpha 
THRB	thyroid hormone receptor beta 
TIE1	tyrosine kinase with immunoglobulin like and EGF like domains 1 
TIMP3	TIMP metallopeptidase inhibitor 3 
TIRAP	TIR domain containing adaptor protein 
TJP1	tight junction protein 1 
TK1	thymidine kinase 1 
TK2	thymidine kinase 2 
TKT	transketolase 
TLK1	tousled like kinase 1 
TLK2	tousled like kinase 2 
TLL2	tolloid like 2 
TLR2	toll like receptor 2 
TLR3	toll like receptor 3 
TLR4	toll like receptor 4 
TLR5	toll like receptor 5 
TLR7	toll like receptor 7 
TLR8	toll like receptor 8 
TLR9	toll like receptor 9 
TMEM167A	transmembrane protein 167A 
TMLHE	trimethyllysine hydroxylase, epsilon 
TNF	tumor necrosis factor 
TNFAIP3	TNF alpha induced protein 3 
TNFAIP6	TNF alpha induced protein 6 
TNFRSF10A	TNF receptor superfamily member 10a 
TNFRSF10B	TNF receptor superfamily member 10b 
TNFRSF11A	TNF receptor superfamily member 11a 
TNFRSF11B	TNF receptor superfamily member 11b 
TNFRSF1A	TNF receptor superfamily member 1A 
TNFRSF1B	TNF receptor superfamily member 1B 
TNFRSF8	TNF receptor superfamily member 8 
TNFRSF9	TNF receptor superfamily member 9 
TNFSF11	TNF superfamily member 11 
TNFSF13B	TNF superfamily member 13b 
TNIK	TRAF2 and NCK interacting kinase 
TNK1	tyrosine kinase non receptor 1 
TNK2	tyrosine kinase non receptor 2 
TNNC1	troponin C1, slow skeletal and cardiac type 
TNNC2	troponin C2, fast skeletal type 
TNNI3	troponin I3, cardiac type 
TNNI3K	TNNI3 interacting kinase 
TOLLIP	toll interacting protein 
TOMM40	translocase of outer mitochondrial membrane 40 
TOP1	DNA topoisomerase I 
TOP1MT	DNA topoisomerase I mitochondrial 
TOP2A	DNA topoisomerase II alpha 
TOP2B	DNA topoisomerase II beta 
TP53	tumor protein p53 
TP53AIP1	tumor protein p53 regulated apoptosis inducing protein 1 
TP73	tumor protein p73 
TPD52L2	TPD52 like 2 
TPH1	tryptophan hydroxylase 1 
TPH2	tryptophan hydroxylase 2 
TPI1	triosephosphate isomerase 1 
TPK1	thiamin pyrophosphokinase 1 
TPM1	tropomyosin 1 
TPM3	tropomyosin 3 
TPM4	tropomyosin 4 
TPMT	thiopurine S-methyltransferase 
TPO	thyroid peroxidase 
TPP1	tripeptidyl peptidase 1 
TPSAB1	tryptase alpha/beta 1 
TPSB2	tryptase beta 2 (gene/pseudogene) 
TPT1	tumor protein, translationally-controlled 1 
TRAC	T cell receptor alpha constant 
TRAF1	TNF receptor associated factor 1 
TRAF3IP2	TRAF3 interacting protein 2 
TRAPPC1	trafficking protein particle complex 1 
TRAPPC3	trafficking protein particle complex 3 
TRAPPC4	trafficking protein particle complex 4 
TRAPPC5	trafficking protein particle complex 5 
TRAPPC6A	trafficking protein particle complex 6A 
TRAPPC6B	trafficking protein particle complex 6B 
TRBC1	T cell receptor beta constant 1 
TRDMT1	tRNA aspartic acid methyltransferase 1 
TREM1	triggering receptor expressed on myeloid cells 1 
TREML4	triggering receptor expressed on myeloid cells like 4 
TRHR	thyrotropin releasing hormone receptor 
TRIB2	tribbles pseudokinase 2 
TRIB3	tribbles pseudokinase 3 
TRIM13	tripartite motif containing 13 
TRPA1	transient receptor potential cation channel subfamily A member 1 
TRPM4	transient receptor potential cation channel subfamily M member 4 
TRPM6	transient receptor potential cation channel subfamily M member 6 
TRPM7	transient receptor potential cation channel subfamily M member 7 
TRPM8	transient receptor potential cation channel subfamily M member 8 
TRPV1	transient receptor potential cation channel subfamily V member 1 
TRPV2	transient receptor potential cation channel subfamily V member 2 
TRPV3	transient receptor potential cation channel subfamily V member 3 
TRPV4	transient receptor potential cation channel subfamily V member 4 
TRPV5	transient receptor potential cation channel subfamily V member 5 
TRPV6	transient receptor potential cation channel subfamily V member 6 
TSC1	TSC complex subunit 1 
TSHR	thyroid stimulating hormone receptor 
TSPAN5	tetraspanin 5 
TSPO	translocator protein 
TSPYL1	TSPY like 1 
TSSK1B	testis specific serine kinase 1B 
TST	thiosulfate sulfurtransferase 
TSTA3	tissue specific transplantation antigen P35B 
TTC37	tetratricopeptide repeat domain 37 
TTK	TTK protein kinase 
TTLL3	tubulin tyrosine ligase like 3 
TTPA	alpha tocopherol transfer protein 
TTR	transthyretin 
TUB	TUB bipartite transcription factor 
TUBA1A	tubulin alpha 1a 
TUBA1B	tubulin alpha 1b 
TUBA1C	tubulin alpha 1c 
TUBA3C	tubulin alpha 3c 
TUBA3E	tubulin alpha 3e 
TUBA4A	tubulin alpha 4a 
TUBA4B	tubulin alpha 4b 
TUBA8	tubulin alpha 8 
TUBB	tubulin beta class I 
TUBB1	tubulin beta 1 class VI 
TUBB2A	tubulin beta 2A class IIa 
TUBB2B	tubulin beta 2B class IIb 
TUBB3	tubulin beta 3 class III 
TUBB4A	tubulin beta 4A class IVa 
TUBB4B	tubulin beta 4B class IVb 
TUBB6	tubulin beta 6 class V 
TUBD1	tubulin delta 1 
TUBE1	tubulin epsilon 1 
TUBG1	tubulin gamma 1 
TUFM	Tu translation elongation factor, mitochondrial 
TXK	TXK tyrosine kinase 
TXN	thioredoxin 
TXNDC11	thioredoxin domain containing 11 
TXNDC12	thioredoxin domain containing 12 
TXNRD1	thioredoxin reductase 1 
TXNRD2	thioredoxin reductase 2 
TYK2	tyrosine kinase 2 
TYMP	thymidine phosphorylase 
TYMS	thymidylate synthetase 
TYMSOS	TYMS opposite strand 
TYR	tyrosinase 
TYRO3	TYRO3 protein tyrosine kinase 
UAP1	UDP-N-acetylglucosamine pyrophosphorylase 1 
UBA1	ubiquitin like modifier activating enzyme 1 
UBB	ubiquitin B 
UBC	ubiquitin C 
UBE2D2	ubiquitin conjugating enzyme E2 D2 
UBE2I	ubiquitin conjugating enzyme E2 I 
UBR4	ubiquitin protein ligase E3 component n-recognin 4 
UCHL1	ubiquitin C-terminal hydrolase L1 
UCK2	uridine-cytidine kinase 2 
UCKL1	uridine-cytidine kinase 1 like 1 
UGCG	UDP-glucose ceramide glucosyltransferase 
UGDH	UDP-glucose 6-dehydrogenase 
UGGT2	UDP-glucose glycoprotein glucosyltransferase 2 
UGT1A	UDP glucuronosyltransferase family 1 member A complex locus
UGT1A1	UDP glucuronosyltransferase family 1 member A1 
UGT1A10	UDP glucuronosyltransferase family 1 member A10 
UGT1A3	UDP glucuronosyltransferase family 1 member A3 
UGT1A4	UDP glucuronosyltransferase family 1 member A4 
UGT1A5	UDP glucuronosyltransferase family 1 member A5 
UGT1A6	UDP glucuronosyltransferase family 1 member A6 
UGT1A7	UDP glucuronosyltransferase family 1 member A7 
UGT1A8	UDP glucuronosyltransferase family 1 member A8 
UGT1A9	UDP glucuronosyltransferase family 1 member A9 
UGT2A1	UDP glucuronosyltransferase family 2 member A1 complex locus 
UGT2B10	UDP glucuronosyltransferase family 2 member B10 
UGT2B11	UDP glucuronosyltransferase family 2 member B11 
UGT2B15	UDP glucuronosyltransferase family 2 member B15 
UGT2B17	UDP glucuronosyltransferase family 2 member B17 
UGT2B4	UDP glucuronosyltransferase family 2 member B4 
UGT2B7	UDP glucuronosyltransferase family 2 member B7 
UGT3A1	UDP glycosyltransferase family 3 member A1 
UGT8	UDP glycosyltransferase 8 
ULK1	unc-51 like autophagy activating kinase 1 
ULK2	unc-51 like autophagy activating kinase 2 
ULK3	unc-51 like kinase 3
UMPS	uridine monophosphate synthetase 
UNC13D	unc-13 homolog D 
UNG	uracil DNA glycosylase 
UPP1	uridine phosphorylase 1 
UPP2	uridine phosphorylase 2 
UQCR10	ubiquinol-cytochrome c reductase, complex III subunit X 
UQCR11	ubiquinol-cytochrome c reductase, complex III subunit XI 
UQCRB	ubiquinol-cytochrome c reductase binding protein 
UQCRC1	ubiquinol-cytochrome c reductase core protein 1 
UQCRC2	ubiquinol-cytochrome c reductase core protein 2 
UQCRFS1	ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1 
UQCRH	ubiquinol-cytochrome c reductase hinge protein 
UQCRQ	ubiquinol-cytochrome c reductase complex III subunit VII 
UROD	uroporphyrinogen decarboxylase 
USP14	ubiquitin specific peptidase 14 
UST	uronyl 2-sulfotransferase 
UTRN	utrophin 
VAC14	VAC14 component of PIKFYVE complex 
VAMP1	vesicle associated membrane protein 1 
VAMP2	vesicle associated membrane protein 2 
VARS1	valyl-tRNA synthetase 1 
VASP	vasodilator stimulated phosphoprotein 
VCAM1	vascular cell adhesion molecule 1 
VCAN	versican 
VCP	valosin containing protein 
VDAC1	voltage dependent anion channel 1 
VDAC2	voltage dependent anion channel 2 
VDAC3	voltage dependent anion channel 3 
VDR	vitamin D receptor 
VEGFA	vascular endothelial growth factor A 
VEGFB	vascular endothelial growth factor B 
VIM	vimentin 
VKORC1	vitamin K epoxide reductase complex subunit 1 
VKORC1L1	vitamin K epoxide reductase complex subunit 1 like 1 
VLDLR	very low density lipoprotein receptor 
VTN	vitronectin 
VWF	von Willebrand factor 
WARS1	tryptophanyl-tRNA synthetase 1 
WARS2	tryptophanyl tRNA synthetase 2, mitochondrial 
WAS	WASP actin nucleation promoting factor 
WEE1	WEE1 G2 checkpoint kinase 
WIF1	WNT inhibitory factor 1 
WNK1	WNK lysine deficient protein kinase 1 
WNT5B	Wnt family member 5B 
XBP1	X-box binding protein 1 
XDH	xanthine dehydrogenase 
XIAP	X-linked inhibitor of apoptosis 
XIRP2	xin actin binding repeat containing 2 
XPA	XPA, DNA damage recognition and repair factor 
XPC	XPC complex subunit, DNA damage recognition and repair factor 
XPO1	exportin 1 
XRCC1	X-ray repair cross complementing 1 
XRCC3	X-ray repair cross complementing 3 
XRCC4	X-ray repair cross complementing 4 
XRCC5	X-ray repair cross complementing 5 
YARS1	tyrosyl-tRNA synthetase 1 
YARS2	tyrosyl-tRNA synthetase 2 
YEATS4	YEATS domain containing 4 
YES1	YES proto-oncogene 1, Src family tyrosine kinase 
YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta 
YWHAE	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon 
YWHAH	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein eta 
YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta 
YWHAZ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta 
ZAP70	zeta chain of T cell receptor associated protein kinase 70 
ZBTB22	zinc finger and BTB domain containing 22 
ZDHHC7	zinc finger DHHC-type containing 7 
ZFY	zinc finger protein Y-linked 
ZMAT4	zinc finger matrin-type 4 
ZNF134	zinc finger protein 134 
ZNF211	zinc finger protein 211 
ZNF385D	zinc finger protein 385D 
ZNF423	zinc finger protein 423 
ZNF565	zinc finger protein 565 
ZNF697	zinc finger protein 697 
ZNF804A	zinc finger protein 804A 
ZNF816	zinc finger protein 816 
ZSCAN25	zinc finger and SCAN domain containing 25 
ZYX	zyxin 
